                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     46,                0.81498,                 1.1132,                 2.4207,                0.96946,                0.94743,                0.98211,                0.85737,                0.56954,                0.43108,                 2.1797,               0.008218,               0.008218,               0.008218
                     47,                0.82447,                 1.1323,                 2.4381,                0.96861,                0.94412,                0.98338,                0.85778,                0.56662,                0.42266,                 2.1905,              0.0081784,              0.0081784,              0.0081784
                     48,                0.81449,                 1.1057,                 2.4306,                0.95943,                0.96142,                0.98498,                0.86319,                0.56381,                0.42293,                 2.1893,              0.0081388,              0.0081388,              0.0081388
                     49,                0.82198,                 1.1288,                 2.4419,                0.96495,                  0.954,                 0.9866,                0.86207,                0.56932,                0.42178,                 2.1777,              0.0080992,              0.0080992,              0.0080992
                     50,                0.81437,                 1.1071,                 2.4149,                0.96733,                0.94915,                0.98441,                0.86179,                0.56701,                0.43122,                 2.1625,              0.0080596,              0.0080596,              0.0080596
                     51,                0.81585,                 1.1055,                 2.4085,                0.96203,                 0.9559,                 0.9812,                0.85956,                 0.5646,                0.43432,                 2.1534,                0.00802,                0.00802,                0.00802
                     52,                0.80527,                 1.0857,                 2.3915,                0.96478,                0.95012,                0.98239,                0.86011,                0.55785,                0.42717,                 2.1492,              0.0079804,              0.0079804,              0.0079804
                     53,                0.81315,                 1.0722,                 2.4348,                0.97271,                0.95624,                0.98357,                 0.8635,                 0.5556,                0.40527,                 2.1687,              0.0079408,              0.0079408,              0.0079408
                     54,                0.80278,                 1.0839,                 2.3995,                0.96765,                0.94713,                0.98139,                0.86422,                0.55999,                0.41323,                 2.1571,              0.0079012,              0.0079012,              0.0079012
                     55,                0.80213,                 1.0709,                    2.4,                0.96363,                0.94534,                0.98133,                 0.8663,                0.55578,                0.42623,                 2.1317,              0.0078616,              0.0078616,              0.0078616
                     56,                0.81055,                 1.0768,                 2.4153,                0.96808,                0.94318,                0.98601,                0.86523,                0.55581,                0.40921,                 2.1145,               0.007822,               0.007822,               0.007822
                     57,                0.79816,                 1.0614,                 2.3766,                0.97064,                0.94927,                0.98241,                0.86282,                0.55827,                0.40193,                 2.1129,              0.0077824,              0.0077824,              0.0077824
                     58,                0.80408,                 1.0575,                 2.3891,                0.95605,                0.96173,                0.98244,                0.86228,                0.55399,                0.40506,                 2.1258,              0.0077428,              0.0077428,              0.0077428
                     59,                0.79915,                 1.0433,                 2.3852,                0.97459,                 0.9514,                0.98181,                0.85965,                0.56052,                0.39745,                 2.1327,              0.0077032,              0.0077032,              0.0077032
                     60,                0.79452,                 1.0369,                 2.3878,                0.96849,                0.95439,                0.98129,                0.85755,                0.55955,                0.41548,                 2.1298,              0.0076636,              0.0076636,              0.0076636
                     61,                0.79115,                 1.0291,                 2.3803,                0.96571,                0.94966,                0.98079,                0.85629,                 0.5636,                0.41862,                 2.1205,               0.007624,               0.007624,               0.007624
                     62,                0.80164,                 1.0589,                 2.3936,                0.97533,                0.95177,                0.98189,                0.86082,                0.56511,                0.39992,                 2.1291,              0.0075844,              0.0075844,              0.0075844
                     63,                0.79178,                 1.0357,                 2.3629,                0.97317,                0.95525,                0.98358,                0.86286,                0.55698,                0.39893,                 2.1068,              0.0075448,              0.0075448,              0.0075448
                     64,                 0.7868,                 1.0342,                 2.3706,                0.97299,                0.95907,                0.98346,                0.85938,                0.56226,                0.39174,                 2.1154,              0.0075052,              0.0075052,              0.0075052
                     65,                0.78713,                 1.0215,                 2.3784,                0.97164,                 0.9524,                0.98525,                 0.8632,                 0.5533,                0.38896,                 2.1128,              0.0074656,              0.0074656,              0.0074656
                     66,                0.78393,                 1.0094,                  2.365,                 0.9714,                0.96024,                0.98223,                0.86019,                0.55501,                0.40401,                 2.1066,               0.007426,               0.007426,               0.007426
                     67,                0.78137,                 1.0061,                 2.3567,                0.97141,                0.95385,                0.97991,                0.85951,                0.55476,                0.40556,                 2.1104,              0.0073864,              0.0073864,              0.0073864
                     68,                0.78186,                0.99962,                 2.3498,                0.97428,                0.95167,                0.98067,                0.85859,                0.56003,                0.40509,                  2.106,              0.0073468,              0.0073468,              0.0073468
                     69,                0.78197,                 1.0052,                 2.3492,                0.97128,                 0.9468,                0.97986,                0.85996,                0.55648,                0.40458,                 2.1086,              0.0073072,              0.0073072,              0.0073072
                     70,                0.78144,                 1.0065,                 2.3613,                0.96849,                0.95389,                0.98223,                0.86458,                0.55365,                0.39699,                 2.1028,              0.0072676,              0.0072676,              0.0072676
                     71,                0.78269,                0.99163,                  2.361,                0.96166,                0.95223,                0.98287,                0.86507,                0.54741,                0.39155,                 2.0936,               0.007228,               0.007228,               0.007228
                     72,                0.78186,                0.99492,                  2.351,                0.96729,                0.95677,                0.98338,                0.86699,                 0.5484,                0.37887,                 2.0881,              0.0071884,              0.0071884,              0.0071884
                     73,                0.77487,                0.98389,                 2.3446,                0.97209,                0.94817,                0.98267,                0.86423,                0.54621,                0.38998,                  2.085,              0.0071488,              0.0071488,              0.0071488
                     74,                0.77305,                0.98363,                 2.3362,                0.96815,                 0.9535,                0.98091,                0.86518,                0.54446,                0.38687,                 2.0849,              0.0071092,              0.0071092,              0.0071092
                     75,                0.77747,                0.97257,                 2.3525,                 0.9669,                0.95478,                0.98433,                0.86651,                 0.5509,                0.38295,                 2.0936,              0.0070696,              0.0070696,              0.0070696
                     76,                0.76924,                0.97513,                 2.3364,                0.96759,                0.95577,                0.97892,                0.85814,                0.54861,                 0.3917,                  2.095,                0.00703,                0.00703,                0.00703
                     77,                0.76615,                0.96706,                 2.3374,                0.96783,                0.95621,                0.97858,                0.85838,                0.54733,                0.38468,                 2.0956,              0.0069904,              0.0069904,              0.0069904
                     78,                0.77387,                0.97043,                 2.3571,                0.96635,                 0.9533,                0.98116,                0.85868,                0.54836,                0.38844,                 2.0985,              0.0069508,              0.0069508,              0.0069508
                     79,                0.77004,                 0.9556,                 2.3448,                0.95836,                0.96133,                0.97945,                0.86093,                0.54733,                0.38427,                 2.0979,              0.0069112,              0.0069112,              0.0069112
                     80,                 0.7653,                0.96252,                 2.3251,                0.96145,                0.96075,                0.98131,                0.86309,                0.54549,                 0.3744,                 2.0954,              0.0068716,              0.0068716,              0.0068716
                     81,                0.76423,                0.94845,                 2.3221,                0.96912,                0.95759,                 0.9826,                0.86525,                0.54628,                0.36887,                 2.0892,               0.006832,               0.006832,               0.006832
                     82,                0.76353,                0.94558,                 2.3284,                0.96498,                0.96363,                0.98278,                0.86727,                0.54615,                 0.3689,                 2.0812,              0.0067924,              0.0067924,              0.0067924
                     83,                0.75677,                0.94552,                 2.3232,                0.96876,                0.96081,                0.98051,                0.86486,                 0.5424,                0.37602,                 2.0839,              0.0067528,              0.0067528,              0.0067528
                     84,                0.76022,                0.93962,                  2.324,                0.96723,                0.96179,                0.97856,                0.86554,                0.54337,                0.37797,                  2.085,              0.0067132,              0.0067132,              0.0067132
                     85,                 0.7606,                0.94152,                  2.327,                0.96923,                0.96094,                0.97985,                0.86306,                 0.5457,                0.37414,                 2.0861,              0.0066736,              0.0066736,              0.0066736
                     86,                 0.7637,                0.95036,                 2.3392,                0.96329,                0.96852,                0.97915,                0.86226,                0.54514,                0.37295,                 2.0873,               0.006634,               0.006634,               0.006634
                     87,                0.75117,                0.92162,                 2.3282,                0.96685,                0.96396,                 0.9797,                0.86284,                0.54481,                0.37405,                 2.0918,              0.0065944,              0.0065944,              0.0065944
                     88,                 0.7489,                0.92607,                  2.315,                0.96803,                0.96352,                0.98087,                0.86426,                0.54567,                0.37291,                 2.0918,              0.0065548,              0.0065548,              0.0065548
                     89,                0.74543,                0.90731,                 2.3002,                0.96824,                0.96173,                0.98089,                0.86414,                0.54355,                0.36874,                 2.0882,              0.0065152,              0.0065152,              0.0065152
                     90,                0.74678,                0.91705,                  2.298,                0.96242,                0.96447,                0.98153,                0.86158,                0.54261,                0.37632,                 2.0787,              0.0064756,              0.0064756,              0.0064756
                     91,                0.75769,                0.92866,                 2.3161,                0.95904,                0.96666,                0.98307,                0.86586,                0.54551,                0.37603,                 2.0794,               0.006436,               0.006436,               0.006436
                     92,                0.74975,                0.91438,                 2.3099,                0.96036,                0.96718,                0.98105,                0.86321,                0.54797,                0.37904,                 2.0795,              0.0063964,              0.0063964,              0.0063964
                     93,                0.74665,                0.90192,                 2.3053,                0.96464,                0.96417,                0.98083,                0.86662,                0.54872,                0.37395,                 2.0815,              0.0063568,              0.0063568,              0.0063568
                     94,                 0.7429,                0.90597,                 2.2959,                0.96977,                0.96412,                0.98296,                0.86727,                0.54811,                0.36843,                 2.0802,              0.0063172,              0.0063172,              0.0063172
                     95,                0.74464,                0.89523,                 2.3026,                 0.9671,                0.96875,                0.98204,                0.86826,                0.54741,                0.36521,                  2.076,              0.0062776,              0.0062776,              0.0062776
                     96,                0.74573,                0.90139,                 2.3131,                0.96811,                0.96771,                0.98087,                0.86784,                0.54737,                0.36656,                 2.0789,               0.006238,               0.006238,               0.006238
                     97,                0.74623,                0.89218,                 2.2965,                0.96697,                 0.9708,                0.98051,                0.86709,                 0.5476,                0.36418,                 2.0797,              0.0061984,              0.0061984,              0.0061984
                     98,                0.73833,                0.87696,                 2.2835,                0.96722,                 0.9654,                 0.9803,                0.86852,                 0.5478,                0.36557,                 2.0781,              0.0061588,              0.0061588,              0.0061588
                     99,                 0.7458,                 0.8842,                 2.3101,                0.97153,                0.95855,                  0.981,                 0.8674,                0.54814,                0.36606,                 2.0772,              0.0061192,              0.0061192,              0.0061192
                    100,                0.74405,                0.89563,                 2.3027,                0.97189,                 0.9597,                0.98094,                 0.8675,                0.54908,                0.36702,                 2.0787,              0.0060796,              0.0060796,              0.0060796
                    101,                0.74279,                0.89103,                 2.2817,                0.97438,                0.95752,                0.98096,                0.86852,                0.54908,                0.36495,                  2.076,                0.00604,                0.00604,                0.00604
                    102,                   0.74,                0.88151,                 2.2843,                0.96255,                0.97029,                0.98105,                 0.8684,                0.54937,                0.36587,                 2.0736,              0.0060004,              0.0060004,              0.0060004
