                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     45,                 1.3425,                 3.0469,                 1.7145,                0.49296,                  0.125,                0.14749,                0.09016,                 1.7683,                 3.7492,                 2.2033,             0.00018795,             0.00018795,             0.00018795
                     46,                 1.3206,                 3.0392,                 1.7119,                0.40576,                0.17457,                0.18025,                0.10436,                 1.5528,                 3.6275,                 1.9855,             0.00018465,             0.00018465,             0.00018465
                     47,                 1.3263,                 3.0733,                 1.7198,                0.44386,                0.19318,                0.15224,                0.10035,                 1.6154,                 3.7077,                 2.0338,             0.00018135,             0.00018135,             0.00018135
                     48,                 1.3092,                 3.0042,                 1.7034,                0.15359,                0.26824,                0.16376,                0.10133,                 1.6459,                 3.5312,                 2.0203,             0.00017806,             0.00017806,             0.00017806
                     49,                 1.2675,                 3.0044,                 1.6925,                0.15116,                0.38337,                0.16327,                0.08777,                 1.6542,                 3.6025,                 2.0486,             0.00017476,             0.00017476,             0.00017476
                     50,                 1.3376,                 3.0257,                 1.7131,                0.22888,                0.29602,                0.13823,                0.07574,                 1.6318,                 3.5706,                  2.038,             0.00017146,             0.00017146,             0.00017146
                     51,                 1.2818,                 2.9879,                 1.6804,                0.48918,                0.13636,                0.12193,                0.07336,                 1.6236,                 3.5614,                 1.9987,             0.00016817,             0.00016817,             0.00016817
                     52,                 1.3024,                 2.9824,                 1.6909,                0.39173,                0.24651,                0.13649,                 0.0744,                 1.6489,                 3.5405,                 2.0499,             0.00016487,             0.00016487,             0.00016487
                     53,                 1.2911,                 2.9437,                 1.6729,                  0.344,                0.23864,                0.13772,                0.08549,                  1.655,                 3.6202,                 1.9981,             0.00016157,             0.00016157,             0.00016157
                     54,                 1.2554,                 2.9158,                 1.6442,                0.40614,                0.17772,                0.11856,                 0.0624,                 1.7737,                 3.6337,                 2.1309,             0.00015827,             0.00015827,             0.00015827
                     55,                 1.2379,                 2.9177,                  1.645,                0.37424,                0.31093,                0.13238,                0.07472,                  1.705,                 3.5979,                 2.0584,             0.00015498,             0.00015498,             0.00015498
                     56,                 1.2507,                 2.9025,                 1.6347,                0.40382,                0.22727,                0.14561,                0.08791,                 1.6857,                 3.4936,                 2.0299,             0.00015168,             0.00015168,             0.00015168
                     57,                 1.2746,                 2.9168,                 1.6421,                0.38703,                0.24418,                0.14585,                0.08017,                 1.6752,                 3.6317,                 2.0618,             0.00014838,             0.00014838,             0.00014838
                     58,                 1.2351,                 2.9005,                 1.6312,                0.40288,                0.14394,                0.14135,                0.07351,                 1.6825,                 3.5037,                 2.0382,             0.00014509,             0.00014509,             0.00014509
                     59,                 1.2116,                 2.8525,                 1.6162,                 0.4393,                0.23864,                0.16824,                0.09691,                 1.6442,                 3.4173,                 1.9882,             0.00014179,             0.00014179,             0.00014179
                     60,                 1.2294,                 2.8816,                 1.6084,                0.39082,                0.23941,                0.20373,                0.12962,                 1.6557,                  3.412,                 2.0365,             0.00013849,             0.00013849,             0.00013849
                     61,                 1.1928,                 2.8566,                 1.5947,                0.59334,                0.19318,                0.18195,                0.10488,                 1.5654,                 3.3627,                 1.9337,              0.0001352,              0.0001352,              0.0001352
                     62,                 1.1869,                 2.8017,                  1.575,                0.49777,                0.21426,                0.17617,                0.10998,                 1.5865,                 3.3571,                 1.9534,              0.0001319,              0.0001319,              0.0001319
                     63,                 1.2074,                 2.8513,                 1.5938,                0.54037,                0.19318,                0.17159,                0.11029,                 1.5833,                 3.4115,                 1.9481,              0.0001286,              0.0001286,              0.0001286
